language=简体中文
locales=zh-hans
fallback=English
disableHyphenationCheck=true

# 1) To get started, navigate to the game's directory. There should be a folder StreamingAssets/Mods/kubi.example.localization.
# 2) Make a copy of this folder and give it a new name, e.g. "yourname.language.localization".
# 3) Open the ModInfo.xml in the folder, enter the mod name and description and your name (if you like).
# 4) When starting the game, the new language should be available in the settings. 
# 5) Whenever you start the game with a new translation file, it will automatically create a list of the missing translation lines. This is both useful to get started and to keep the translation up-to-date when new strings get added. The file can be found in C:\Users\<username>\AppData\LocalLow\MirkoStudio\Kubifaktorium\Missing_<language>.txt on Windows or ~/.config/unity3d/MirkoStudio/Kubifaktorium/ on Linux.

# The general format of the localization file for each line is <key>=<value>, for example "UI.BuildTrain=Build train". The <key> must not be changed, the <value> is to be translated, so e.g. "UI.BuildTrain=Baue Zug".
# A line starting with "#" is ignored and can be used for comments.
# The line "fallback=English" specifies which language to use when a certain string cannot be found. Usually English is a good choice as it is usually the most up-to-date but other languages can be chosen if they are closer to the target language.
# The game supports hyphenation for languages with long strings like German. To use it, use the "_" character to insert a soft hyphen at the spots where a word can be hyphenated. I recommend this for words longer than 12-15 characters. For example: "Recommen_dations" or "trans_portation".
# A string in the format "#<id>#" causes an icon to be inserted, e.g. "#sun#". Note that the id must not be translated, otherwise it will not be found and translated correctly.
# A string in the format "##<id>" creates a keyword. Keywords like "##daytime" will be translated to an underlined word "daytime". In addition, an explanation will be added underneath, usually in the tooltips. Again, the id must not be translated. However, the explanation text (the lines with keys like ##idle), should.
# Strings like "$1", "$2" etc are placeholders for numbers and other things which will be filled by the game. For example "Growth rate at daytime: $1%" will become "Growth rate at daytime: 75%" at runtime.
# If required for some reason, you can use <br> to create a line break. However I recommend not using it.

### Thank you for your help!! :)


##Automated = #Power#自动化
##Automated.Desc = #Power#自动化：自动化建筑无需你的殖民者操作也可工作，但需要电力来运转。
##automatically = #Power#自动化的
##automatically.Desc = #Power#自动化：自动化建筑在不需要居民操作的情况下也能工作，但需要电力才能运转。
##cargoship = #Refine#货船
"##cargoship.Desc =  #Refine# 货船：出口多余的货物并进口需要的资源。如要出口货物，把存储区连接至货船港口
如要进口货物，把货船港口连接至库存并设置一些允许被进口的货物。"
##carriage = 马车
##carriage.Desc = 马车会自动在相连的驿站之间运输货物，选择一个车站并用鼠标右键点击另一个车站来连接他们。
##day = #sun#白天
##day.Desc = #sun#白天： 6:00 至 18:00 的时间段。
##decoration = #House#装饰品
##decoration.Desc = #House#装饰品：放置装饰品会让你的殖民者更加开心和更加效率。
##depot = 仓库
##depot.Desc = 仓库：用来储存并分配货物，用机械臂来提取或放入货物。
##drink = 饮品
##drink.Desc = 饮品：当口渴时，殖民者会自动找一些东西来喝，提供饮品会让他们更加开心和更加效率。
##farmzone = #Farm#农场
##farmzone.Desc = #Farm#农场区：可以分配在肥沃的土地上，让殖民者种植一些农作物。
##food = 食物
##food.Desc = 食物：当殖民者饥饿时会自动寻找食物进食。提供他们食物将会更加开心和更加效率。
##grovezone = #Grove# 林场
##grovezone.Desc = #Grove#林场：可以分配在肥沃的土壤上，让你的殖民者种植树木。
##happiness = #Happy#幸福
##happiness.Desc = #Happy#幸福：一个殖民者是否幸福影响着他或她的行走速度和工作效率。
##house = 房屋
##house.Desc = 房屋：殖民者和动物们拥有房屋后，他们会更幸福和更有效率。
##idle = #Idle# 空闲
##idle.Desc = #Idle# 空闲：你可以在殖民者管理界面来管理殖民者的工作。
##keycycle = #controller# 高低
##keycycle.Desc = #controller# 高低：鼠标的中键 或 'V'键。
##keyrotate = #controller# 旋转
##keyrotate.Desc = #controller# 旋转：鼠标的4和5键 或 'R'键。
##logsys = #Logistics# 物流系统
##logsys.Desc = #Logistics# 物流系统：当火车和仓库完成运输连接。设置好物流系统后，火车会自动完成运输工作。
##mine = #Mine# 开采
##mine.Desc = #Mine# 开采：要选择一项要开采的资源，你只需要点击开采按钮然后选中需要开采的资源。拖动鼠标框选一片区域，区域内的所有资源都会被开采。
##pasturezone = #Pasture#牧场
##pasturezone.Desc = #Pasture# 牧场区：可在肥沃土地上分配一片牧场区以聚集并驯养中立动物。
##power = #Power#发电
##power.Desc = #Power#发电：用发电机生产电力。
##productiontarget = 库存目标
##productiontarget.Desc = 库存目标：用岛上生产的产品完成库存目标。
##robot = 机器人
##robot.Desc = 机器人：可以完成简单的任务. 不会提升##技能 , 需要油才能行动,可以设定为多种行动模式。
##ship = #Compass# 船
##ship.Desc = #Compass# 船：将你带到这座岛上的船可以在岛屿之间运送物品。
##skill = #People# 技能
##skill.Desc = #People# 技能：每个殖民者精通的技能都有所不同，且每种技能熟练度也有高低之分，通过工作来提高技能,熟练度越高，效率越快。
##social = #Chat# 社交
##stacksize = 堆叠量
##stacksize.Desc = 堆叠：在库存和仓库中，可以在单个图块上堆叠多个相同类型的项目。
##stockpilezone = #Stockpile#存储区
##stockpilezone.Desc = #Stockpile#存储区：在踏实的地面（除自然沙地和海域）上划分区域，以便于存放工坊，农场或采矿作业的产品。
##territory = #Mountain# 领地
##territory.Desc = #Mountain# 领地：你只能在自己的领地之内建设。若要扩张领地，可以建设篝火堆,或者摧毁敌方营地。
##tool = #settings# 工具
##tool.Desc = #settings# 工具：增加居民完成任务的几率。居民会自动装备与任务相符品质最佳的工具。
##water = 水
##water.Desc = 水：农场的农作物需要浇水才能生长。
##weight = 重量
##weight.Desc = 重量：你的殖民者负重时会影响速度。
##zone = #star#区域
Settings.Fog.Desc = 显示烟雾特效。
Settings.FPS = 显示FPS
Settings.FPS.Desc = 显示当前每秒帧率。
Settings.Hints = 提示
Settings.Hints.Desc = 当游戏检测到生产建筑闲置时会提示。
Settings.Hit = 击打动画
Settings.Hit.Desc = 挖掘或建造时的动画。
Settings.Language = 语言
Settings.Language.Desc = （语言只能在主菜单中更改）
Settings.LeadingCamera = 镜头跟随
Settings.LeadingCamera.Desc = 跟随殖民者时，镜头会跟随移动。
Settings.Lights = 灯光
Settings.Lights.Desc = 显示场景中的光照（重新加载地图生效）。
Settings.LocalizationHelp = 本地化帮助
Settings.LocalizationHelp.Desc = 生成 Missing_<language>.txt 文件 来提供本地化帮助。
Settings.Music = 音乐
Settings.Music.Desc = 音乐音量大小
Settings.PauseOnDefocus = 自动暂停
Settings.PauseOnDefocus.Desc = 自动暂停游戏，当失去焦点时。
Settings.Recommendations = 建议
Settings.Recommendations.Desc = 在左上角显示建议。
Settings.RightDrag = 右键拖动。
Settings.RightDrag.Desc = 按住鼠标右键的同时拖动地图。
Settings.RotateSpeed = 旋转速度
Settings.RotateSpeed.Desc = 镜头旋转速度参数：影响按 Q / E / PageUp / PageDown 键时镜头的旋转速度。
Settings.Scroll = 鼠标滚屏
Settings.Scroll.Desc = 鼠标移动到屏幕边缘控制镜头移动。
Settings.ScrollSpeed = 滚动速度
Settings.ScrollSpeed.Desc = 滚动速度系数。影响鼠标滚屏和用按键WASD滚屏时的速度。
Settings.Shadows = 阴影质量
Settings.Shadows.Desc = 光源投射下阴影的质量。当你有多个光源时阴影看起来很不错，但显卡会很吃力。
Settings.ShowMarkers = 显示标记
Settings.ShowMarkers.Desc = 显示装载和开采任务的标记。
Settings.Sound = 声音
Settings.Sound.Desc = 声音的音量。
Settings.SSScale = 截图质量
Settings.SSScale.Desc = 增大该项会降低截图的质量。
Settings.StreamDeck = 直播串流
Settings.StreamDeck.Desc = 支持直播串流。需要重启游戏。
Settings.Surveys = 调查
Settings.Surveys.Desc = 在主选单中显示调查。
Settings.Tooltips = 工具提示
Settings.Tooltips.Desc = 指针悬停在按钮时显示工具提示。当关闭时，按住Shift键时同时移动鼠标，你仍然可以看到工具提示。
Settings.UIScale = UI比例
Settings.UIScale.Desc = 放大或缩小用户界面。
Settings.VoiceAmbience = 语音音量
Settings.VoiceAmbience.Desc = 殖民者说话声音的音量。
Settings.Weather = 天气影响
Settings.Weather.Desc = 天气影响视觉画面，如雨和雪。
Status.NothingAccepted = 没有设置存储类型
Status.NothingAccepted.Desc = 没有设置好存储物品类型。
Status.ZoneSplit = 分割区域
Status.ZoneSplit.Desc = 区域被分成了两个或两个以上不相关的部分。移除多余的部分以移除本警告。
StockpileZoneCC = 存储区
StockpileZoneCC.Desc = 存储区可用来存放工坊、农场或是开采的产品、原料等。
Task.Attack.Text = 攻击 $1 。
Task.Clean.Text = 清洁 $1 。
Task.CombatTrain.Text = 训练。
Task.Construct.Text = 建设 $1 。
Task.ConstructClear.Text = 清除 $1 。
Task.Deconstruct.Text = 拆除 $1 。
Task.Drink.Text = 饮用 $1 。
Task.Eat.Text = 食用 $1 。
Task.Equip.Text = 装备 $1 。
Task.FarmClear.Text = 清除 $1 。
Task.FarmWater.Text = 土壤浇水。
Task.GroveClear.Text = 清除 $1。
Task.HarvestCrop.Text = 收采集 $1。
Task.HarvestTree.Text = 砍伐 $1 。
Task.Idle = 空闲
Task.Idle.Text = 空闲。
Task.Load.Text = 加载 $1
Task.LogisticsSystem.Text = 移动 $1
Task.Mine.Text = 挖掘 $1
Task.MoveIntoHouse.Text = 移动到 $1
Task.PlantCrop.Text = 种植 $1
Task.PlantTree.Text = 种植 $1
Task.Power.Text = 供电 $1
Task.Produce.Export = 导出 $1
Task.Produce.Import = 导入 $1
Task.Produce.Text = 在 $2中制作 $1
Task.Rally.Text = 正在向集合旗帜进发。
Task.Sleep.Text = 睡觉
Task.Socialize.Text = 跟 $1 在交流。
Task.Stockpile.Text = 搬运 $1 到存储区。
Task.Tame.Text = 正在驯服 $1。
Task.Till.Text = 耕地。
Task.Train.Text = 正在作战训练。
Task.TrainCombat.Text = 战斗训练。
Task.Unequip.Text = 正在卸下装备。
Task.Unload.Text = 卸载 $1。
Task.UnloadAuto.Text = 卸载 $1。
Task.Upgrade.Text = 升级 $1。
Task.Wander.Text = 四处闲逛。
Task.Water.Text = 土地浇水。
Task.YieldAnimal.Text = $1 正在挤奶。
TaskGroup._Name = 工作任务
TaskGroup.Agriculture = 农务
TaskGroup.Agriculture.Desc = 农场工人在 ##farmzone 犁地、耕种作物并收获庄稼。
TaskGroup.Combat = 战斗
TaskGroup.Combat.Desc = 战士保卫殖民者同胞、抗击敌人。
TaskGroup.Construction = 建造
TaskGroup.Construction.Desc = 建筑工人负责建造工作。
TaskGroup.Crafting = 制造
TaskGroup.Crafting.Desc = 工匠在工坊制造各种复杂的产物。
TaskGroup.Mining = 挖掘&采集
TaskGroup.Mining.Desc = 工人可以##mine #Tree#树木 和  #Rock#岩石和石块。
TaskGroup.Pasture = 放牧
TaskGroup.Pasture.Desc = 牧场工人会驯服野生动物并倾向于选择##pasturezone 中的动物类型。
TaskGroup.Power = 发电
TaskGroup.Power.Desc = 殖民者和动物可以 ##power。
TerrainShape.Flat = 地势平坦
TerrainShape.Flat.Intro = 这个岛屿大多数是草原.
TerrainShape.Mountain = 山丘地形
TerrainShape.Mountain.Intro = 这个岛屿有很多丘陵和山地。
TerrainShape.Normal = 普通地形
TerrainShape.Plane = 地势非常平坦。
TerrainShape.Rainbow = 非常平坦的地形
Text.BackerRaft.Desc = 由 $1 发送。
TipOfTheDay.1 = 你的目标展示在左上角。鼠标悬停在上面可以显示更多信息。点击灯泡图标打开帮助窗口。花点时间看一下呗——你的殖民者不会因为这而被饿死的。
TipOfTheDay.10 = 点击建造一个推荐的建筑。点击一个推荐的物品可以选择到生产它的工坊。
TipOfTheDay.11 = 你可以像使用存储区一样使用飞艇仓库。你可以用它们作为工坊、农场等的输入口和输出口。
TipOfTheDay.12 = 使用高级工坊升级你的工具和武器。
TipOfTheDay.13 = 当你缺乏必要资源的时候，你可以建一座 货船港口 来进口它们。出口一些物资可以获得进口所需的资金。
TipOfTheDay.14 = 你可以重命名殖民者、区域和一些建筑。为此，你需要选中他们然后他们位于信息面板顶部的名字。
TipOfTheDay.15 = 殖民者手上没有任何工具的时候移动得更快。当殖民者没被分配任何工作或被指派到任何工坊的时候他就是个纯搬运工。
TipOfTheDay.16 = 存储区内的格子是按它被创建时的顺序依次被使用的。在工坊旁边起一块存储区并从那里逐步扩张可以让工作更高效一点。
TipOfTheDay.17 = 你可以把你的船连接到一个存储区。这样可以让你的殖民者把所有可接收的物资直接卸到这个存储区里。
TipOfTheDay.18 = 当您用完需要进口的资源时，建立一个货船港口并进行交易。 木板、面包和啤酒等物品可以无限制地出口交易。
TipOfTheDay.2 = 你的殖民者不会死。当他们受伤时，他们会一边睡觉一边治疗恢复。
TipOfTheDay.3 = 选择要开采的资源时，按住 Alt 键可以选中领地内所有同类型的资源。
TipOfTheDay.4 = 你可以按住 Alt 键点击复制已有的建筑。
TipOfTheDay.5 = 在添加配方到工坊时，按住 Alt 键则其输出存储区的可接收物资也会自动更新。
TipOfTheDay.6 = 按 shift+F1 来保存当前镜头位置。按 F1 键返回到保存的位置。（F1~F4 都可以保存位置）
TipOfTheDay.7 = 按 F11 隐藏用户界面。
TipOfTheDay.8 = 按F12 截屏。<br><br>Windows系统 保存文件夹：<br>   C:\Users_\<username>_\AppData_\LocalLow_\MirkoStudio_\Kubifak_torium_\...  <br> Mac/Linux系统 保存文件夹:<br>  ~/.config_/unity3d_/MirkoStudio_/Kubifak_torium_/
TipOfTheDay.9 = 点击一个物品的描述面板可以打开其相关生产树的概览。
TipOfTheDay.Header = 提示：
TitleBasicWorkshop1 = 生产木板
TitleBasicWorkshop1.Intro = 建造一个基础工坊来生产一些木板。
Tool.Crit = 暴击率
Tool.Crit.Desc = 成功执行暴击操作的几率。武器暴击能打出额外的伤害。开采暴击可以成功产出额外的物资。
Tool.Effect = 工具效果
Tool.Effect.Agriculture.Crit = 暴击成功率：$1%
Tool.Effect.Agriculture.Effect = 速度：$1%
Tool.Effect.Agriculture.Hit = 成功率：$1%
Tool.Effect.Combat.Crit = 暴击率：$1%
Tool.Effect.Combat.Effect = 伤害：$1
Tool.Effect.Combat.Hit = 命中率：$1%
Tool.Effect.Crafting.Crit = 暴击成功率：$1%
Tool.Effect.Crafting.Effect = 速度：$1
Tool.Effect.Crafting.Hit = 成功率：$1%
Tool.Effect.Desc = - 武器的效能决定了它能造成的伤害。<br>- 开采工具、农具和制造工具能提高相应工作的完成速度。
Tool.Effect.Mining.Crit = 暴击成功率：$1%
Tool.Effect.Mining.Effect = 速度：$1
Tool.Effect.Mining.Hit = 成功率：$1%
Tool.Effect.None.Crit = 暴击率：$1%
Tool.Effect.None.Effect = 基础效果
Tool.Effect.None.Hit = 成功率：50%
Tool.Hit = 成功率
Tool.Hit.Desc = 成功率决定了一项任务有多大几率能被成功完成，例如：敌人能否被击中或生产尝试能否成功。
Tool.None = 没有装备工具
Train.Schedule = 火车行程表：
Train.Schedule.UI = 火车站
Train.Schedule.UI.Desc = 要添加车站到行程表，你只需要选中一辆火车然后右击新的车站。点击行程表中的条目可以移除相应车站。
Train.Status.Deactivated = 已停止开动。
Train.Status.Deactivated.Desc = 你可以在信息面板中将这一列火车设为开动状态。
Train.Status.NoPath = 没有路线通往下一个站点。
Train.Status.NoPath.Desc = 确保站点之间有轨道连接。
Train.Status.NoSchedule = 没有设置行程表
Train.Status.NoSchedule.Desc = 要添加车站到行程表，你只需要选中一辆火车然后右击新的车站。点击行程表中的条目可以移除相应车站。
Train.Status.Okay = 行驶中。
Train.Status.Okay.Desc = 正前往下一站点。
Train.Status.WaitAtStation = 停靠在车站。
Train.Status.WaitAtStation.Desc = 火车在车站作业完毕后会重新上路。
TrainAutoExitHopper.Desc = 设置出料口
TrainAutoExitHopper.Intro = 铁矿正被自动运往南方的车站。选中南方车站的出料口并将其设置成接收铁矿，这样铁矿就能被储存到附近的仓库里。
TrainAutoSchedule.Desc = 3.）设置一个行程表
TrainAutoSchedule.Intro = 选择火车后再右击火车站添加到行程表中。
TrainSchedule.Desc = 4.）设置一个行程表
TrainSchedule.Intro = 火车需要行程表指示它该去哪里。选中火车然后右键将两个车站都加到它的行程表里。
TutorialNeedsTools.IntroControls = 熟悉按键操作：
TutorialNeedsTools.Introduction = 我们抵达了一座和平的小岛。我们应该搭建一个小小的营地并储备一些木头和石头。
TutorialNeedsTools.IntroHelp = 学习如何使用帮助系统：
TutorialNeedsTools.IntroUnload = 从我们的船上卸下补给：
UI.Acceleration = 加速：$1
UI.AcceptAll = 全部接收
UI.AcceptAll.Desc = 设置  ##stockpilezone 接收所有货物。
UI.AcceptedGoods = 接收的货物：
UI.AcceptedGoods.Help = （点击一种货物切换到它。）
UI.AcrossIslands = 全部岛屿：$1
UI.ActiveJobs = 工作
UI.ActorInfo = 殖民者/动物信息：
UI.AssignZone = 切换区域
UI.AssignZone.Desc = 点击这里 分配/取消分配 该##zone颜色。
UI.Attack = 攻击
UI.Attack.Desc = 攻击靠近我方边界的敌方营地。
UI.Attack.Miss = Miss！
UI.AttackCamp = 攻击敌营
UI.AttackCamp.Desc = 攻陷敌方营地以占领他们的 ##territory 。与你的敌人们不同，你的殖民者们不会战死。反复进攻难以攻下的营地，胜利只是时间问题。
UI.Bug = 报告错误
UI.Bug.Desc = 反馈bug功能允许你发送一张屏幕截图以及一篇bug日志（可选）给开发者。
UI.Build = 建造
UI.Build.AwaitingConstruction = 等待施工。
UI.Build.AwaitingConstruction.Desc = 只要有殖民者到位，施工就会马上开始。
UI.Build.Desc = 为建筑创建一份蓝图供你的殖民者建造。
UI.Build.InProgress = 施工中
UI.Build.InProgress.Desc = 殖民者会搬运所需的物资并开始施工。
UI.Build.MissingMaterials = 缺少材料
UI.Build.MissingMaterials.Desc = 由于缺少一种或多种材料，殖民者未能继续施工。
UI.Build.MissingMaterials.Explicit = 缺少施工材料 $1
UI.Build.NoWorker = 没有分配工人施工。
UI.Build.NoWorker.Desc = 要让一个殖民者从事施工工作，你只需要选中他/她然后点击建造图标，并确保他/她被指派到了这片区域工作。或者，你也可以在殖民者管理窗口分配你的殖民者的工作。
UI.BuildTrain = 制造火车
UI.BuildTrain.NoFreeSegment = 铁轨段被占用。
UI.BuildTrain.NoMoreTrains = 火车制造数量的最大上限。
UI.BuildTrain.SelectTrainToBuild = 选择要制造的火车。
UI.BuiltFrom = 建造需求
UI.BuiltFrom.Multibuild = 生产 $1 
UI.CanBeMined = 可以开采
UI.Cancel = 取消
UI.Cancel.Desc = 中止施工。
UI.CancelAttack = 中止攻击。
UI.CancelOrder = 取消订单。
UI.CancelOrder.Desc = 取消任务。如挖掘，装货或拆除。
UI.CapacityUsed = 已用容量：
UI.ClaimRange = 扩张范围：$1
UI.ClearZone = 出售/拆除/移除区域
UI.ClearZone.Desc = 摧毁一座建筑或移除 ##Stockpilezone，##Farmzone，或 ##Grovezone。使用 ##Keycycle 键在同一格内的多个对象之间切换。
UI.Clone = 复制建筑
UI.Clone.Desc = 克隆该建筑。生产设置和运输连接也会被复制。
UI.Close = 关闭
UI.Colonists = 你的战士（力量 $1 ）：
UI.CombatState.Title = 战斗进行中！
UI.CombatState.Waiting = （等待中）
UI.Conv = 传送带建造工具
UI.Conv.Desc = 建造传送带。<br>按 ##Keyrotate 旋转。<br>按 ##Keycycle 高中低之间切换。
UI.CurrentlyInStock = 库存：$1
UI.DamageUnarmed = 伤害（徒手）：$1
UI.DecorationValue = ##Decoration：幸福值 $1，范围 $2
UI.DeleteGame = 删除
UI.Drink = 饮用水存量
UI.Drink.Desc = 为你的殖民者提供 ##drink ，使他们工作更有效率。
UI.Drinks = 饮品：$1
UI.Eats = 食物：$1
UI.Equipment = 装备
UI.Error.TrackReserved = 火车行驶时无法移除轨道。
UI.ExitToMain = 退出到主菜单
UI.Export.Title = 出口价格：
UI.Faction = 状态
UI.Farm = 农场
UI.Farm.Desc = 创建一个新的 ##farmzone 或者扩大现有的区域。
UI.FarmMode = 模式
UI.FarmModeGrow = 林场
UI.FarmModeHarvest = 收获
UI.FarmModeTill = 耕地
UI.FarmModeWater = 浇水
UI.Fight = 指挥你的战士。
UI.Fight.Desc = 设置一个集合旗帜，携带武器的殖民者将聚集在这个旗帜处攻击所看到的敌人。
UI.FightClose = 删除集合旗帜
UI.FightClose.Desc = 删除集合旗帜。所有殖民者将会返回自己的岗位继续工作。
UI.Follow = 跟随对象
UI.Follow.Desc = 跟随一个物品或者一个殖民者。
UI.Food = 食物存量
UI.Food.Desc = 为你的殖民者们提供足够的 ##food 会让他们工作更有效率。
UI.Grove = 林场
UI.Grove.Desc = 创建一个新的  ##grovezone 或者扩大现有的区域。
UI.GrowsOn = 可种植在
UI.GrowthRateDay = 白天生长速率：$1%
UI.GrowthRateNight = 夜间生长速率：$1%
UI.GrowTime = 生长所需时间：$1s
UI.HaltUnloadAll = 暂停卸货
UI.HaltUnloadAll.Desc = 停止卸载物品。
UI.Harbour.Explanation = ##Cargoship 运输前一座岛上生产的货物。
UI.Help = 帮助
UI.HitpointMax = 最大生命：$1
UI.HitpointRegen = 生命回复：$1
UI.Hitpoints = 生命值：$1/$2
UI.House = 住房
UI.House.Desc = 为你的殖民者们提供 ##house 会让他们工作更有效率。
UI.HousingValue = ##House ：幸福值 $1，房间 $2
UI.IdleColonists = 空闲殖民者
UI.IdleColonists.Desc = 点击这里循环跟踪 ##idle 的殖民者。
UI.IdleFighters = 空闲战士
UI.IdleFighters.Desc = 点击这里循环跟踪 ##idle 的战士。
UI.Import.Help = 可用货币
UI.Import.Help.Desc = 货币用来向岛上进口原材料。可以通过出口产品来赚取货币。
UI.Import.Money = 可用货币：$1
UI.Import.Title = 进口价格：
UI.IncreaseProductionTarget = 提高目标
UI.IncreaseProductionTarget.Desc = 提高这个岛上的##productiontarget 会降低你在其他岛上的 ##productiontarget 。<br>注意：您可以在任何时候离开这座小岛，尽管你还没有达到提高的目标。
UI.Inhabitants = 殖民者
UI.Inventory.ShowCargo = 货物库存
UI.Inventory.ShowCargo.Desc = 包括当前存储在你的 ##ship 上的货物。
UI.InventoryMenu = 库存
UI.InventoryMenu.Desc = 显示您的殖民地的库存并管理货物的使用。
UI.Item.Export = 出口价格：$1
UI.Item.Import = 进口价格：$1
UI.ItemInfo = 物品信息：
UI.ItemState.Available = 可用物品
UI.ItemState.Reserved = 保持库存
UI.ItemState.ReservedBy = 保持$1库存
UI.ItemState.TransportedTo = 物品转运至 $1
UI.ItemTypes.Title = 物品类型：
UI.LeaveMap = 离开岛屿
UI.LeaveMap.Desc = 离开岛屿，并打开世界地图。
UI.LinkOverlay = 产品线
UI.LinkOverlay.Desc = 切换工坊，农场和 ##stockpilezone 之间的活动连接显示。【默认按键：左Alt键】
UI.Load = 装货
UI.Load.Desc = 要装载到你的 ##ship的物品
UI.LoadGame = 加载游戏
UI.LoadLeave = 装货并离开
UI.LoadSave = 加载 / 保存
UI.LoadSave.Desc = 打开保存游戏菜单。
UI.LogisticsRequest = 物流系统的需求。
UI.LogisticsRequest.Desc = 从物流系统中请求提供选定的货物类型。如果没有该货物，那么它只用来作为仓库存放货物以及工坊产出的产品。
UI.LogisticsSystem = 物流系统
UI.LogisticsSystem.Desc = 为了<b>提供</b>货物，请用右键单击将这个单元连接到其他单元上（存储区、飞艇站等。）。同时要确保那些储存点有货物提供。<br>为了<b>请求</b>货物，请将其他单元（存储区、飞艇站等。）连接到这个存储区并将它设为接收需求的货物。（##logsys ）
UI.Main = 打开菜单
UI.Main.Desc = 加载/保存游戏，更改设置或者退出游戏。
UI.MapComplete = 胜利！
UI.MaxSpeed = 最大速度：$1
UI.Menu = 菜单
UI.Menu.Title = 菜单
UI.MessageLog = 消息日志
UI.MessageLog.Desc = 保留着历史消息
UI.MessagePanel = 信息
UI.MessagePanel.Desc = 右键点击可关闭信息。你可以在信息日志中回顾已关闭的信息。左键点击信息可将镜头对准该事件。
UI.Mine = 挖掘&采集
UI.Mine.Desc = 标记##mine 的岩石、树木或其他资源以及收割的作物。（按住Alt键可标记在你的##territory 中的所有同类对象）。
UI.MineableContent = 山体成分
UI.MinedFrom = 开采于
UI.MiningDifficulty = 挖掘难度
UI.MiningDifficulty.Desc = 挖掘难度决定了需要单个工人挖掘该资源的时间。
UI.MissionComplete = 任务完成！
UI.Modding.Legal = 提交模组，请确保是自己制作并且同意Steam创意工坊条款（点击此处）。
UI.Modding.State.CreationFailed = 模组创建失败：错误代码 $1
UI.Modding.State.Idle = （闲置）
UI.Modding.State.SteamNotInitialized = 错误：Steam 界面未初始化。
UI.Modding.State.Submitting = 提交模组
UI.Modding.State.UpdateSuccess = 更新模组/创建成功
UI.Modding.State.Updating = 更新模组中...
UI.Modding.Submit = 提交/更新
UI.MovementSpeed = 移动速度：$1
UI.MultiSelectHeader = $1 殖民者已选择。
UI.NextTutorial = 下一个教程关卡
UI.NextTutorial.Desc = 离开当前游戏，开始下一个教程关卡。
UI.Pasture = 牧场
UI.Pasture.Desc = 创建或扩张一个##pasturezone.
UI.PastureAnimalInfo = 牧场动物
UI.PastureCapacity = 已用空间：$1 / $2
UI.PastureYield = 在牧场饲养时，每$2秒收获$1。
UI.Pet.Owner = 主人
UI.PlantGrowth = 生长：$1%
UI.PlantGrowthRate = 生长速度：$1%
UI.PlantGrowthTime = 生长时间：$1秒
UI.PlantInfo = 植物信息：
UI.PlantTitle = 植物的生长信息：
UI.PressAnyKey = 按任意键开始！
UI.Priority = 优先级：
UI.Priority.Tooltip = 优先级
UI.Priority.Tooltip.Desc = 殖民者会最先使用优先级更高的存储区和工坊。
UI.ProcessedIn = 加工于
UI.ProducedFrom = 制作原料
UI.ProducedHere = 可以制作
UI.ProducedIn = 生产于
UI.ProductionTarget = ##Productiontarget
UI.ProductionTarget.Desc = 当前岛屿的##productiontarget。
UI.ProductionTarget.Met = 库存目标：<br> $1
UI.ProductionTarget.MetShort = 已完成的库存目标：<br> $1
UI.ProductionTarget.TooltipTitle = 生产目标：
UI.ProductionTree = 科技树
UI.PropagateToAll = 产出全接收
UI.PropagateToAll.Desc = 将所有已连接存放产品的存储区设置为接收这个工坊的全部产出。
UI.Randomize = 随机
UI.RecipieHint = <i>点击配方来 开启/关闭 它。按住Alt键自动更新存放产品的存储区设置接收物品类型。</i>
UI.Recommendations = 建议
UI.Recommendations.Desc = 该建议提示系统是基于当前发展状况来提出的。
UI.Recruit = 招募他们。
UI.Recruit.Defeat = 敌人（强度 $1）
UI.Recruit.Desc = 招募的落难殖民者和驯服的动物会加入你的殖民地。注意：动物只能完成有限的任务。一旦加入了你的殖民地，它们也会消耗供给。
UI.Recruit.Requirements = 要求：
UI.Recruit.Title = 敌人：
UI.Recruitment = 招募
UI.RefuseAll = 拒绝所有
UI.RefuseAll.Desc = 设置 ##stockpilezone 拒绝存储所有货物。
UI.RelativeStrength.Equal = 敌人强度：势均力敌
UI.RelativeStrength.Hard = 敌人强度：强
UI.RelativeStrength.Inferior = 敌人强度：不堪一击
UI.RelativeStrength.Low = 敌人强度：弱
UI.RelativeStrength.Overwhelming = 敌人强度：以卵击石
UI.RestartMap = 重置地图
UI.ResumePlaying = 继续游戏
UI.ReturnToMain = 返回主菜单
UI.ReturnToMain.Desc = 离开这游戏，并返回到主菜单。
UI.Road = 道路建造工具
UI.Road.Desc = 建设道路来连接远处的工坊或仓库。殖民者们在道路上会走得更快。另外点击两个地点可以建造一条直路。
UI.SaveGame = 保存游戏
UI.SaveGame.Desc = 保存当前游戏进度文件。
UI.SelectAnimal = 选择动物
UI.SelectAssignedZones = 允许区域：
UI.SelectProduct = 选择产物
UI.SelectZoneColor = 选择区域颜色
UI.Settings = 设置菜单
UI.Settings.Desc = 打开设置菜单。
UI.SettlerMenu = 殖民者管理
UI.SettlerMenu.Desc = 设置你的殖民着的工作任务和他们所使用的工坊。
UI.SettlerScreen.Areas = 区域
